Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
GNSH1-,SPT,"B-2-2b, B-3-2b",132,GLENSHIMMEROCH,,,GLENSHIMMEROCH 132kV
GNSH3-,SPT,B-3-2b,33,GLENSHIMMEROCH,,,GLENSHIMMEROCH 33kV
GORG1Q,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GORGIE,55.936106,-3.236463,GORGIE 132kV
GORG1R,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GORGIE,55.936106,-3.236463,GORGIE 132kV
GORG3-,SPT,B-3-1b,33,GORGIE,55.936106,-3.236463,GORGIE 33kV
GORW2-,SHET,"B-2-1a, B-2-2a, B-3-1a",275,GORDONBUSH WINDFARM,58.114908,-3.957234,GORDONBUSH WINDFARM 275kV
GORW3-,SHET,B-3-1a,33,GORDONBUSH WINDFARM,58.114908,-3.957234,GORDONBUSH WINDFARM 33kV
GOVA1Q,SPT,"B-2-1b, B-3-1b",132,GOVAN,55.854905,-4.316883,GOVAN 132kV
GOVA1R,SPT,"B-2-1b, B-3-1b",132,GOVAN,55.854905,-4.316883,GOVAN 132kV
GOVA3-,SPT,B-3-1b,33,GOVAN,55.854905,-4.316883,GOVAN 33kV
GRAI11,NGET,B-3-1c,132,GRAIN,51.4450543,0.7157852,GRAIN 132kV
GRAI41,NGET,"B-2-1c, B-2-2c, B-3-1c, B-4-1c",400,GRAIN,51.4450543,0.7157852,GRAIN 400kV
GRAN61,NGET,B-3-1c,66,GRANGE,51.5629203,-3.7539296,GRANGE 66kV
GREM1J,SHET,"B-2-2a, B-3-2a",132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1K,SHET,"B-2-2a, B-3-2a",132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1L,SHET,B-2-2a,132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1M,SHET,B-2-2a,132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1N,SHET,"B-2-2a, B-3-2a",132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1P,SHET,B-2-2a,132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM1Q,SHET,B-2-2a,132,GREMISTA,60.16663902,-1.16429986,GREMISTA 132kV
GREM3-,SHET,B-3-2a,33,GREMISTA,60.16663902,-1.16429986,GREMISTA 33kV
GREN11,NGET,"B-3-1c, B-4-1c",132,GRENDON,52.2431171,-0.7289407,GRENDON 132kV
GREN12,NGET,B-3-1c,132,GRENDON,52.2431171,-0.7289407,GRENDON 132kV
GREN41,NGET,"B-2-1c, B-2-2c, B-3-1c, B-4-1c",400,GRENDON,52.2431171,-0.7289407,GRENDON 400kV
GRIF1S,SHET,"B-2-1a, B-3-1a",132,GRIFFIN WINDFARM (SSE),,,GRIFFIN WINDFARM (SSE) 132kV
GRIF1T,SHET,"B-2-1a, B-3-1a",132,GRIFFIN WINDFARM (SSE),,,GRIFFIN WINDFARM (SSE) 132kV
GRIF36,SHET,B-3-1a,33,GRIFFIN WINDFARM (SSE),,,GRIFFIN WINDFARM (SSE) 33kV
GRIF38,SHET,B-3-1a,33,GRIFFIN WINDFARM (SSE),,,GRIFFIN WINDFARM (SSE) 33kV
GRIW11,NGET,B-3-1c,132,GRIMSBY WEST,53.5652673,-0.152361,GRIMSBY WEST 132kV
GRIW12,NGET,B-3-1c,132,GRIMSBY WEST,53.5652673,-0.152361,GRIMSBY WEST 132kV
GRIW41,NGET,"B-2-1c, B-3-1c",400,GRIMSBY WEST,53.5652673,-0.152361,GRIMSBY WEST 400kV
GRMO2-,SPT,"B-2-1b, B-3-1b",275,GRANGEMOUTH,56.005047,-3.694644,GRANGEMOUTH 275kV
GRMO3A,SPT,B-2-1b,33,GRANGEMOUTH,56.005047,-3.694644,GRANGEMOUTH 33kV
GRMO3C,SPT,"B-2-1b, B-3-1b",33,GRANGEMOUTH,56.005047,-3.694644,GRANGEMOUTH 33kV
GRNA1-,SPT,"B-2-1b, B-2-2b, B-3-1b",132,GRETNA,55.032228,-3.052049,GRETNA 132kV
GRNA3U,SPT,B-4-2b,33,GRETNA,55.032228,-3.052049,GRETNA 33kV
GRNA4-,SPT,"B-2-1b, B-2-2b, B-3-1b",400,GRETNA,55.032228,-3.052049,GRETNA 400kV
GRNA4C,SPT,"B-2-1b, B-2-2b",400,GRETNA,55.032228,-3.052049,GRETNA 400kV
GRNS4L,SHET,B-2-2a,400,GREENS,53.48106741,-2.14769104,GREENS 400kV
GRNS4M,SHET,B-2-2a,400,GREENS,53.48106741,-2.14769104,GREENS 400kV
GRNV4-,SHET,B-2-2a,400,GREEN VOLT OFFSHORE WIND FARM,,,GREEN VOLT OFFSHORE WIND FARM 400kV
GRST2A,NGET,"B-2-1c, B-4-1c",275,GREYSTONES,54.5752847,-1.1247447,GREYSTONES 275kV
